271	2
-1.6705	0.443551	3.17167
-0.523458	-0.117159	3.50068
-1.35503	0.451158	3.36344
-1.72646	-0.192379	3.41373
-1.81558	-0.42718	3.47222
-1.54395	0.378304	3.34245
-1.63549	-0.192387	3.41387
-0.574686	0.372247	3.65698
-0.215455	-0.537689	3.83386
-0.193809	-0.553068	3.83899
-1.64701	-0.17922	3.4108
0.574153	-0.0100907	1.20363
-0.156468	0.0254995	3.8197
-0.414188	0.265164	3.71686
-0.212132	-0.480989	3.9074
-0.730558	-0.205072	3.40909
1.66353	-0.809172	3.22908
-0.509432	1.00648	5.11651
0.256605	-0.188868	0.709819
1.95555	-0.143119	3.97056
-0.240618	0.68072	3.55803
-0.520217	-0.202617	3.47899
1.33291	0.0147213	2.80701
1.71036	-0.756041	4.3887
-1.61607	1.33473	4.98484
-1.11423	1.05857	3.08033
-0.195354	-0.550375	3.84063
-1.44926	-0.215183	3.40411
-1.16406	0.407261	2.91426
-0.161108	-0.261392	2.31556
-1.35901	-0.291999	3.39249
-0.418176	0.266411	3.71455
-1.39091	0.440097	3.35726
-1.13371	-0.325123	3.4146
-0.179028	0.491772	3.685
-0.402682	-0.464567	3.65104
-0.781425	-0.355862	3.41001
-1.43397	0.387644	3.36826
-0.362485	0.243348	3.09875
-0.309751	0.240053	2.97122
-0.564114	-0.163453	3.46369
1.79704	-0.434051	4.34889
-1.49476	1.60222	4.82203
-0.390672	-0.099259	4.05489
-1.31833	0.205442	3.08926
0.5608	-0.90437	2.38809
-0.268837	0.294087	2.62832
0.165714	0.235154	3.05219
1.40017	-0.124497	3.11415
-0.260357	1.25043	4.46092
-0.633132	-0.123433	3.45149
-0.33344	0.807792	3.45259
-0.299027	0.404233	3.84199
-0.986497	0.558821	2.8205
-1.79879	-0.432178	3.47198
-0.269771	-0.494165	3.80083
-0.448465	0.03393	2.56577
0.150082	-0.0800379	3.11754
-0.233658	-0.399439	3.89425
-1.79414	-0.238544	3.42673
-0.580309	0.367365	3.65554
-0.759	0.316849	2.84812
-0.0836442	-0.0487237	2.66968
-0.370489	-0.0395774	0.8869
1.76549	-0.449428	3.40758
-0.0286502	-0.0906529	3.0529
-0.315025	0.244141	3.44562
-0.30905	0.694531	3.53461
-0.066359	-0.0740294	2.94671
-0.211511	0.204674	3.41914
0.132643	0.312491	3.12226
-0.274095	0.643228	3.26561
-1.723	-0.200325	3.41614
-1.37597	0.368702	3.3923
-0.154287	-0.382574	4.05431
-0.181682	0.494415	3.70478
-1.06511	0.639673	3.18199
-0.357561	0.0238946	2.19105
-0.29883	-0.438721	3.77292
-0.499988	-0.119198	3.51382
-1.71134	-0.344198	3.4493
-0.482787	0.253401	4.12839
-1.31484	0.391729	2.76748
-0.243469	0.691637	3.53958
-0.3607	0.669682	3.54677
-0.14184	-0.00519249	0.90539
1.77513	-0.259897	3.54096
0.832694	-0.441563	1.66347
-0.285094	-0.493883	3.78281
-0.240739	0.314348	3.12402
-0.307222	0.379577	3.00329
-0.39099	0.298777	3.72408
-0.201688	-0.655373	2.82654
-0.242727	-0.306226	3.74887
-0.96076	0.374471	1.85182
0.877517	-0.376609	2.59694
0.877517	-0.376609	2.59694
-0.247124	0.593283	3.09685
-0.216173	0.555056	2.80454
-0.295432	-0.436819	2.82243
-0.195598	-0.227936	3.52928
0.994189	-0.0918201	2.03963
-0.329538	-0.0594149	3.98405
-1.23519	0.259606	3.11153
-0.606295	0.302147	3.61912
-1.21492	0.753017	3.29868
-0.425273	0.321382	3.70241
-1.72061	-0.209862	3.41885
-1.17749	0.728294	3.2851
-1.39205	0.435138	3.35927
-0.263189	0.1812	3.82619
-1.54189	0.367608	3.34848
-0.44671	0.379794	3.67824
-0.46114	-0.146829	3.52929
-0.226994	-0.550279	3.81054
1.76545	-1.44249	4.59557
-1.97236	0.962189	5.48615
-0.178102	0.112011	4.14071
-1.33387	0.516632	3.07895
-1.58932	0.386708	3.32319
-0.516518	-0.077059	3.52665
0.65062	-0.510501	1.83219
-0.588441	0.307548	3.62656
-0.478962	0.397287	3.68794
-0.574811	0.336603	3.63091
-1.12406	0.796769	3.25563
-0.220113	0.572525	3.03601
-0.159805	0.546782	2.84474
-0.176485	0.474455	3.698
-1.13411	-0.331017	3.41486
-0.175951	-0.342264	4.02096
-0.835452	-0.168735	3.40708
-1.39475	0.430866	3.36043
-0.953615	-0.421813	2.85488
-0.279671	-0.678293	3.05537
-0.521746	0.746256	3.46885
-1.33221	0.831519	3.12065
-0.782346	-0.357509	3.41023
-0.0294669	-0.0620684	3.35838
-0.604257	0.331001	3.39143
-1.13456	0.783956	3.26118
-0.259871	-0.239656	3.80774
-0.353756	0.755811	3.48754
-0.160695	-0.388322	4.03636
-1.12406	0.796769	3.25563
-1.37115	0.471614	3.34819
-0.00487989	-0.139513	3.02869
-0.300982	0.223012	3.49943
-1.54785	-0.727129	3.38747
-0.588441	0.307548	3.62656
-0.395971	0.242743	3.72945
-0.222198	0.155146	3.16159
-0.379279	0.294943	3.12472
-0.258022	-0.486519	2.78384
-0.166666	-0.243152	3.59478
-0.217991	0.487492	3.70847
-0.227699	-0.446143	3.87412
-0.222337	-0.338887	3.90938
-1.01374	-0.228666	3.5503
-0.913094	-0.436509	2.80073
-1.01152	0.334229	3.71152
-0.937307	-0.0233051	2.38658
-0.754819	0.317511	1.74127
0.988825	-0.293035	2.79316
-1.30646	0.773088	3.0754
