1196	11
-1.80067	0.478658	3.41899
-0.655797	-0.146197	4.3859
-1.41609	0.472029	3.51511
-1.30197	-0.144663	2.57451
-15.4838	-3.63814	29.6138
-1.63655	0.401546	3.54305
-1.06826	-0.125303	2.22997
-0.641198	0.415807	4.08035
-0.269034	-0.670305	4.78789
-0.236811	-0.674687	4.69153
-1.1915	-0.129255	2.4676
1.05829	-0.0181663	2.21798
-0.323311	0.0526321	7.89481
-0.5139	0.329423	4.61192
-0.274468	-0.621165	5.05599
-0.564084	-0.157944	2.63239
0.31217	-0.136458	1.17765
1.3613	-0.372348	3.12772
-0.235261	0.666021	3.47921
18.1761	7.06206	-121.56
1.05299	0.012249	2.21749
0.344673	0.172198	7.3024
-1.05957	1.00713	2.92931
-0.239292	-0.673063	4.70517
-0.264602	-0.0391873	0.621549
-1.2243	0.0757198	5.16271
-3.06659	-0.657612	7.65551
-0.517934	0.330391	4.60094
-1.45731	0.46165	3.51765
2.92532	0.837407	-8.8109
-0.191492	0.526417	3.94249
-0.599009	-0.69005	5.43143
54.4674	24.7661	-237.7
-1.51404	0.409841	3.55647
0.208788	0.100443	-1.55292
0.0907576	0.0262177	-0.557282
0.348488	0.639482	6.16014
-1.38129	0.119241	5.00811
0.629695	-1.01476	2.68118
-0.206058	0.738726	7.35923
-0.0849098	-0.148687	1.98123
-1.08302	-0.210306	5.90431
-0.314665	0.762767	3.25836
-1.03702	0.700621	4.62907
-13.7502	-3.29916	26.5419
-0.360013	-0.658382	5.07265
-0.686608	0.199154	7.5004
-0.32856	-0.560534	5.476
-1.14095	-0.151347	2.17929
-0.648703	0.411141	4.0865
-0.0424953	0.0033	0.204304
0.233465	-0.339607	6.24715
-0.160126	0.0877913	1.99872
-0.301993	0.679123	3.45417
-0.11572	-0.0199978	2.19641
-0.0209669	0.0303568	0.187014
-1.238	-0.14354	2.45467
-1.45371	0.390085	3.58409
-0.206088	-0.509753	5.41522
-0.193419	0.526754	3.94502
-0.28179	0.039828	1.40334
-0.428863	-0.628545	5.41494
-0.322296	-0.0765399	2.26513
94.6988	19.0154	-190.886
-1.52805	0.531155	5.22242
-0.237466	0.675044	3.45269
-0.356202	0.661778	3.50278
0.772457	-0.148305	4.46138
1.10395	-0.584977	2.20507
-0.384121	-0.664356	5.09714
-0.188458	0.167806	1.79513
-0.473809	0.362466	4.5132
-0.281602	-0.739176	4.52778
-0.0210754	0.00639166	-3.54342
-0.289404	0.22753	1.42825
-0.305632	-0.632419	4.91416
1.09002	-0.10009	2.23606
22.0227	-1.7621	-107.062
-0.704153	0.35142	4.2034
-1.19407	0.74059	3.24213
-0.503906	0.381231	4.38724
-1.15849	-0.140929	2.30204
-1.17023	0.724307	3.26494
-1.45948	0.45676	3.52211
-0.365398	0.251816	5.31278
-1.63607	0.390615	3.55314
-0.506972	0.431462	4.17467
2.51659	0.798776	-19.2613
-0.282709	-0.68427	4.74648
-0.0331271	0.00749514	0.165005
-0.281529	0.105405	1.44249
-1.68584	0.410745	3.52516
-0.834549	-0.123778	5.69832
0.888773	-0.696822	2.50247
-0.683739	0.357855	4.21402
-0.533474	0.442945	4.10786
-0.657801	0.385689	4.15528
-1.10436	0.783297	3.19865
-0.127174	0.157355	2.23394
-0.190761	0.513232	3.99814
20.9398	6.10135	-63.0542
-0.247176	-0.479635	5.64821
-0.480962	-0.0968395	1.96152
-1.46323	0.452565	3.52554
-1.20945	-0.562572	4.20161
-0.504829	0.722522	3.35649
-1.32838	0.829629	3.1118
54.7187	24.9663	-238.531
-0.84749	0.408136	7.32827
-1.11709	0.772384	3.21106
-0.321848	-0.296141	4.71576
-0.339345	0.725478	3.34565
-0.214875	-0.517995	5.39707
-1.10436	0.783297	3.19865
-1.42977	0.492315	3.49145
-0.549898	0.286837	8.34685
-133.754	-62.7836	292.741
-0.683739	0.357855	4.21402
-0.502517	0.308472	4.73324
-0.526655	0.199545	5.72772
-0.0767931	-0.180494	1.47892
-0.233231	0.52196	3.96845
-0.307818	-0.601979	5.23755
-0.324095	-0.492899	5.69844
-0.373743	-0.11722	1.07922
-0.0350819	-0.00121272	0.204753
-0.0252659	-0.237906	8.88452
-1.16918	0.475259	4.56816
-0.488214	0.252498	5.04939
-0.178919	0.25591	1.81488
0.878971	-0.622602	2.53347
-0.219065	0.207562	1.67464
-0.747327	0.0482792	6.56988
-0.203705	0.0438722	1.70177
-0.538243	0.439767	4.11459
-0.0323412	0.00587609	0.204912
-1.33744	0.48002	5.34436
-11.3682	-4.09711	99.9401
-0.282789	0.135563	1.44817
-0.481735	0.405419	1.86153
-0.560136	-0.0683371	7.0347
-0.531592	0.405756	4.24846
-0.246698	-0.879347	3.94326
-0.0249318	0.0202528	0.157966
-0.454696	-0.52642	5.71048
-0.93891	-0.107573	5.89577
-0.61312	0.619023	3.55383
0.912478	0.256855	-2.71921
-0.336728	0.669343	3.48263
-0.284263	-0.247167	4.09668
-0.257774	0.295764	1.52088
-0.0346407	0.0270514	0.185125
-0.174366	-0.0479801	1.68447
-0.390745	0.0220891	8.99253
-0.906836	0.716044	7.97215
-0.935404	-0.155055	5.916
-0.535326	0.387798	4.31754
