4515	41
-1.80067	0.478658	3.41899
-0.658088	-0.14671	4.40123
-1.41609	0.472029	3.51511
-1.30251	-0.144724	2.57558
-3.28673	-0.771947	6.2853
-1.63655	0.401546	3.54305
-1.06901	-0.125392	2.23154
-0.641197	0.415807	4.08035
-0.269032	-0.670301	4.78786
-0.236809	-0.674684	4.69151
-1.19207	-0.129318	2.46877
1.05829	-0.0181663	2.21798
-0.322982	0.0525784	7.88678
-0.513894	0.329419	4.61187
-0.274463	-0.621153	5.0559
-0.564302	-0.158005	2.63341
0.312157	-0.136452	1.1776
1.3613	-0.372348	3.12772
-0.235261	0.66602	3.47921
18.0436	7.01061	-120.674
1.05299	0.012249	2.21749
0.344649	0.172185	7.30188
-1.05957	1.00713	2.92931
-0.23929	-0.67306	4.70515
-0.273318	-0.0404867	0.642025
-1.2243	0.0757197	5.16271
2.26285	0.48521	-5.64713
-0.517928	0.330387	4.60088
-1.45731	0.46165	3.51765
-1.01048	-0.289203	3.04355
-0.191492	0.526415	3.94248
-0.599013	-0.690055	5.43147
54.1987	24.644	-236.528
-1.51404	0.409841	3.55647
0.208713	0.100407	-1.55236
-2.51431	-0.726339	15.4463
0.348486	0.639478	6.16011
-1.38128	0.119241	5.00811
0.629695	-1.01476	2.68118
-0.20628	0.739518	7.36712
-0.084305	-0.147627	1.96712
-1.08306	-0.210314	5.90454
-0.314665	0.762767	3.25836
-1.03711	0.700682	4.62948
51.9303	12.4602	-100.242
-0.36001	-0.658377	5.07261
-0.686576	0.199144	7.50005
-0.328543	-0.560504	5.47571
-1.14189	-0.151472	2.18108
-0.648703	0.411141	4.0865
-0.0418849	0.00325316	0.201372
0.233466	-0.339608	6.24717
-0.159591	0.0874977	1.99204
-0.301993	0.679123	3.45417
-0.115504	-0.0199608	2.19232
-0.020799	0.0301157	0.185525
-1.23862	-0.143613	2.45591
-1.45371	0.390085	3.58409
-0.206067	-0.5097	5.41466
-0.193418	0.526753	3.94501
-0.281698	0.039815	1.40288
-0.428859	-0.628539	5.41489
-0.331945	-0.0788386	2.33295
20.4891	4.11419	-41.2756
-1.52805	0.531155	5.22243
-0.237466	0.675044	3.45269
-0.356202	0.661778	3.50278
0.772457	-0.148305	4.46138
1.10395	-0.584977	2.20507
-0.384118	-0.664352	5.09711
-0.188042	0.167435	1.79117
-0.473804	0.362462	4.51315
-0.281602	-0.739175	4.52778
-0.0208697	0.00632756	-3.50897
-0.289278	0.22743	1.42763
-0.305632	-0.632419	4.91415
1.09002	-0.10009	2.23606
22.1479	-1.7721	-107.671
-0.704153	0.35142	4.2034
-1.19407	0.74059	3.24213
-0.503904	0.381229	4.38722
-1.15924	-0.141021	2.30353
-1.17023	0.724307	3.26494
-1.45948	0.45676	3.52211
-0.365354	0.251786	5.31215
-1.63607	0.390615	3.55314
-0.506971	0.431461	4.17466
2.72182	0.863911	-20.8321
-0.282708	-0.684268	4.74646
-0.0327063	0.00740073	0.162913
-0.281408	0.105359	1.44188
-1.68584	0.410745	3.52516
-0.834978	-0.123842	5.70125
0.888773	-0.696822	2.50247
-0.683739	0.357855	4.21402
-0.533474	0.442944	4.10786
-0.657801	0.385689	4.15528
-1.10436	0.783297	3.19865
-0.12641	0.156408	2.22051
-0.19076	0.513229	3.99812
18.9547	5.52312	-57.0769
-0.247139	-0.479563	5.64736
-0.481417	-0.0969317	1.96338
-1.46323	0.452565	3.52554
-1.20945	-0.562572	4.20161
-0.504829	0.722522	3.35649
-1.32838	0.829629	3.1118
54.4467	24.8422	-237.346
-0.847488	0.408135	7.32825
-1.11709	0.772384	3.21106
-0.322254	-0.296512	4.72169
-0.339345	0.725478	3.34565
-0.214855	-0.517946	5.39656
-1.10436	0.783297	3.19865
-1.42977	0.492315	3.49145
-0.549819	0.286796	8.34565
-67.0075	-31.4531	146.656
-0.683739	0.357855	4.21402
-0.502507	0.308466	4.73315
-0.527193	0.199748	5.73356
-0.0767964	-0.180502	1.47899
-0.233231	0.521959	3.96843
-0.307809	-0.601962	5.2374
-0.324063	-0.49285	5.69788
-0.37373	-0.117216	1.07918
-0.0345992	-0.00119559	0.201939
-0.0252653	-0.237901	8.88431
-1.16918	0.475258	4.56816
-0.488188	0.252485	5.04913
-0.178601	0.255455	1.81165
0.878971	-0.622602	2.53347
-0.218813	0.207323	1.67271
-0.747321	0.0482789	6.56983
-0.203457	0.0438188	1.6997
-0.538242	0.439766	4.11458
-0.0319284	0.00580183	0.202301
-1.33744	0.48002	5.34436
-4.76212	-1.71617	41.8644
-0.282662	0.135502	1.44752
-0.483831	0.407189	1.86964
-0.560108	-0.0683336	7.03435
-0.531591	0.405755	4.24845
-0.246698	-0.879347	3.94326
-0.0246818	0.0200512	0.156389
-0.454736	-0.526466	5.71099
-0.939014	-0.107584	5.89642
-0.61312	0.619023	3.55383
1.08146	0.30446	-3.2228
-0.336728	0.669342	3.48263
-0.285007	-0.247811	4.10739
-0.257632	0.295601	1.52004
-0.0342802	0.026771	0.183201
-0.174258	-0.0479505	1.68343
-0.421904	0.0238502	9.70961
-0.906847	0.716052	7.97225
-0.935727	-0.155109	5.91804
-0.535325	0.387797	4.31753
-0.184028	0.138456	1.81778
-1.28195	0.747101	5.0537
-0.102467	-0.121879	1.69963
-0.409308	0.225789	5.37056
-0.0545183	0.00304589	0.206585
-0.173162	0.0533598	1.87937
-0.138358	0.239296	1.93068
-0.50769	0.27315	4.90454
-0.274356	-0.646364	4.88261
1.09311	-0.121916	2.16969
-0.420757	0.124573	1.15754
23.5807	11.9697	-171.229
-1.08536	-0.295183	4.76834
-2.33882	2.72836	18.6023
-0.475323	0.688733	3.39516
-2.14676	0.107938	4.19758
-0.176613	0.514809	3.94562
-4.35252	4.98167	19.4461
-1.8924	-0.423006	3.89611
-4.41455	-1.41434	13.577
-1.10615	0.730242	3.23525
-0.457538	0.344243	4.57538
-1.62105	0.392676	3.52402
-1.30014	0.234125	5.23045
-0.217389	0.638788	3.51166
-1.4396	0.928863	2.94654
-0.251899	0.725439	3.97138
0.902935	-0.711021	2.45744
