5646	51
-1.80067	0.478658	3.41899
-0.658367	-0.146774	4.40309
-1.41609	0.472028	3.51511
-1.30259	-0.144733	2.57574
17.2511	4.05407	-32.9946
-1.63655	0.401546	3.54305
-1.06911	-0.125405	2.23175
-0.641197	0.415807	4.08035
-0.269032	-0.6703	4.78786
-0.236809	-0.674683	4.6915
-1.19215	-0.129327	2.46895
1.05829	-0.0181663	2.21798
-0.322925	0.052569	7.88537
-0.513893	0.329418	4.61186
-0.274462	-0.621151	5.05588
-0.564335	-0.158014	2.63356
0.312155	-0.136451	1.17759
1.3613	-0.372348	3.12772
-0.235261	0.66602	3.47921
18	6.99375	-120.383
1.05299	0.012249	2.21749
0.344644	0.172183	7.30178
-1.05957	1.00713	2.92931
-0.23929	-0.67306	4.70514
-0.27321	-0.0404781	0.641772
-1.2243	0.0757197	5.16271
-7.74044	-1.65961	19.3418
-0.517927	0.330387	4.60087
-1.45731	0.46165	3.51765
-20.3756	-5.83372	61.3591
-0.191492	0.526415	3.94248
-0.599014	-0.690056	5.43148
54.1531	24.6232	-236.329
-1.51404	0.409841	3.55647
0.208701	0.100401	-1.55227
6.18394	1.78647	-38.0065
0.348486	0.639478	6.16011
-1.38128	0.119241	5.00811
0.629695	-1.01476	2.68118
-0.206315	0.73964	7.36834
-0.0842221	-0.147482	1.96518
-1.08307	-0.210316	5.90459
-0.314665	0.762767	3.25836
-1.03712	0.700693	4.62954
-2.31405	-0.554249	4.466
-0.36001	-0.658376	5.0726
-0.68657	0.199143	7.49999
-0.32854	-0.560499	5.47566
-1.14201	-0.15149	2.18132
-0.648703	0.411141	4.0865
-0.0418324	0.00324955	0.201121
0.233466	-0.339608	6.24717
-0.159509	0.0874529	1.99102
-0.301993	0.679123	3.45417
-0.115476	-0.0199563	2.19179
-0.0207874	0.0301005	0.185429
-1.23871	-0.143624	2.45609
-1.45371	0.390085	3.58409
-0.206063	-0.50969	5.41456
-0.193418	0.526752	3.94501
-0.281682	0.0398127	1.4028
-0.428858	-0.628538	5.41488
-0.33225	-0.0789172	2.33511
-0.37993	-0.0757328	0.764079
-1.52805	0.531156	5.22243
-0.237466	0.675044	3.45269
-0.356202	0.661778	3.50278
0.772457	-0.148305	4.46138
1.10395	-0.584977	2.20507
-0.384118	-0.664352	5.0971
-0.187977	0.167377	1.79055
-0.473803	0.362461	4.51315
-0.281602	-0.739175	4.52778
-0.0208587	0.00632278	-3.50722
-0.289255	0.227412	1.42751
-0.305632	-0.632419	4.91415
1.09002	-0.10009	2.23606
22.1615	-1.77318	-107.736
-0.704153	0.35142	4.2034
-1.19407	0.74059	3.24213
-0.503903	0.381228	4.38722
-1.15935	-0.141035	2.30374
-1.17023	0.724307	3.26494
-1.45948	0.45676	3.52211
-0.365346	0.25178	5.31203
-1.63607	0.390615	3.55314
-0.506971	0.431461	4.17466
2.75226	0.873565	-21.065
-0.282708	-0.684268	4.74646
-0.0326742	0.00739412	0.162756
-0.281387	0.105352	1.44177
-1.68584	0.410745	3.52516
-0.835049	-0.123853	5.70174
0.888773	-0.696822	2.50247
-0.683739	0.357855	4.21402
-0.533474	0.442944	4.10786
-0.657801	0.385689	4.15528
-1.10436	0.783297	3.19865
-0.126293	0.156264	2.21846
-0.19076	0.513229	3.99812
2.3808	0.693878	-7.16742
-0.247132	-0.479549	5.6472
-0.481475	-0.096944	1.96362
-1.46323	0.452565	3.52554
-1.20945	-0.562572	4.20161
-0.504829	0.722522	3.35649
-1.32838	0.829629	3.1118
54.4006	24.8212	-237.145
-0.847488	0.408135	7.32825
-1.11709	0.772384	3.21106
-0.322311	-0.296564	4.72252
-0.339345	0.725478	3.34565
-0.214851	-0.517937	5.39646
-1.10436	0.783297	3.19865
-1.42977	0.492315	3.49145
-0.549804	0.286788	8.34542
-66.5441	-31.2356	145.642
-0.683739	0.357855	4.21402
-0.502505	0.308465	4.73313
-0.527269	0.199775	5.73439
-0.076797	-0.180503	1.479
-0.23323	0.521958	3.96843
-0.307808	-0.601959	5.23737
-0.324057	-0.492841	5.69777
-0.373727	-0.117215	1.07917
-0.034561	-0.00119389	0.20172
-0.0252652	-0.2379	8.88428
-1.16918	0.475258	4.56816
-0.488184	0.252483	5.04908
-0.178548	0.255381	1.81112
0.878971	-0.622602	2.53347
-0.218771	0.207283	1.67239
-0.74732	0.0482788	6.56982
-0.203418	0.0438104	1.69938
-0.538242	0.439766	4.11458
-0.0318972	0.00579677	0.202108
-1.33744	0.48002	5.34436
-4.57741	-1.64943	40.2403
-0.28264	0.135491	1.44741
-0.483951	0.407295	1.87011
-0.560103	-0.068333	7.03428
-0.53159	0.405755	4.24845
-0.246698	-0.879347	3.94326
-0.0246645	0.0200384	0.156285
-0.454743	-0.526474	5.71107
-0.939032	-0.107587	5.89654
-0.61312	0.619023	3.55383
1.09524	0.308372	-3.26387
-0.336728	0.669342	3.48263
-0.285096	-0.247887	4.10866
-0.257605	0.29557	1.51988
-0.0342498	0.0267482	0.183042
-0.174241	-0.047946	1.68327
-0.423921	0.023964	9.75602
-0.906849	0.716053	7.97226
-0.935781	-0.155118	5.91839
-0.535324	0.387796	4.31753
-0.183958	0.138403	1.81709
-1.28196	0.747104	5.05373
-0.102466	-0.121879	1.69962
-0.409299	0.225783	5.37043
-0.054432	0.00304145	0.206258
-0.173104	0.0533417	1.87874
-0.138291	0.239181	1.92976
-0.507687	0.273149	4.90451
-0.274356	-0.646363	4.8826
1.09311	-0.121916	2.16969
-0.420748	0.124571	1.15752
23.526	11.9419	-170.832
-1.08536	-0.295183	4.76834
-2.27047	2.64834	18.0585
-0.475323	0.688733	3.39516
-2.14676	0.107938	4.19758
-0.176613	0.514809	3.94561
-4.00543	4.58388	17.8942
-1.8924	-0.423006	3.89611
-4.04408	-1.29539	12.4374
-1.10615	0.730242	3.23525
-0.457537	0.344242	4.57537
-1.62105	0.392676	3.52402
-1.30014	0.234125	5.23045
-0.217389	0.638788	3.51166
-1.4396	0.928863	2.94654
-0.25191	0.725468	3.97154
0.902935	-0.711021	2.45744
-0.345401	0.713065	3.33951
-0.611242	0.206766	7.92351
-0.217602	0.64216	3.49362
0.911794	-0.811252	2.42131
-1.31272	0.773708	3.15125
-0.508484	0.121973	8.31633
-0.33664	0.623634	3.57042
-1.15429	0.595925	5.32982
-4.0573	-1.29962	12.478
0.031316	-0.00878709	-0.0921813
-0.182255	0.516765	3.93762
-0.91325	-0.033346	5.64731
-0.546929	0.504464	3.84388
-1.13877	0.0634864	5.28382
-0.212384	0.0479036	1.68788
-0.601886	-0.12209	4.31328
-0.957914	0.595905	5.69026
-0.655101	0.381238	4.12681
0.000396492	3.7166e-05	0.00607738
-0.756499	0.105134	6.74757
16.2712	-22.027	-177.745
-0.808161	0.486114	7.99029
0.452242	-0.668579	4.10915
-1.31166	0.765884	3.1487
-1.62529	0.384168	3.52972
-1.48418	-0.453301	4.15039
19.0661	10.1074	-151.524
-2.12966	0.674395	4.83236
-0.32187	-0.430527	5.78783
-0.170974	0.495857	4.02805
-5.1997	-1.72875	38.6287
-0.660136	0.627529	4.96492
-0.336772	0.634021	3.54092
-1.08967	0.745545	3.21746
-0.457883	0.327768	4.65328
-0.491015	0.39962	4.27501
-0.36832	-0.649301	5.11069
-111.743	-55.9961	247.998
-18.1775	-3.73691	37.0995
-1.04627	0.963892	2.94616
0.76663	0.290229	4.79212
-0.339903	0.708506	3.34249
2.60699	0.665598	-6.60627
2.98898	-3.89123	-30.787
-0.27745	0.0653466	1.48156
-0.270389	0.61646	3.58796
-0.324644	0.625952	3.56133
-0.197416	-0.898048	3.82139
-1.09379	0.743342	3.21711
-1.4187	0.437787	3.51871
-0.33931	-0.645635	5.02972
-0.507464	0.396459	4.27131
0.348543	0.0480349	-1.14274
-0.32302	0.273395	1.55543
-0.387541	-0.454494	5.61328
-0.430603	-0.663879	5.17185
-6.50205	-2.19371	48.3039
0.23877	0.39745	3.79723
0.659293	-0.217155	4.69932
-0.272618	-0.504603	5.53073
-0.230369	0.683933	3.3754
